23:50:02,45.0,614804
23:50:03,44.9,614788
23:50:04,44.7,616756
23:50:05,45.1,1051200
23:50:06,45.1,616760
23:50:07,44.9,616776
23:50:08,45.1,1051260
23:50:09,45.7,1024972
23:50:10,45.6,616960
23:50:11,46.1,1037120
23:50:12,46.6,1054640
23:50:13,46.6,621016
23:50:14,46.9,1048952
23:50:15,47.1,672948
23:50:16,46.9,679716
23:50:17,46.7,683512
23:50:18,47.0,736728
23:50:19,46.8,684984
23:50:20,47.5,848972
23:50:21,48.1,693548
23:50:22,48.0,689564
23:50:23,47.8,689572
23:50:24,47.7,689572
23:50:25,47.5,689576
23:50:26,47.3,689576
23:50:27,47.1,689840
23:50:28,47.0,702360
23:50:29,47.0,798096
23:50:30,46.8,690296
23:50:31,46.6,690328
23:50:32,46.5,691248
23:50:33,47.0,935732
23:50:34,46.8,692556
23:50:35,47.0,1126908
23:50:36,47.2,1141140
23:50:37,47.2,721636
23:50:38,47.5,1141156
23:50:39,47.8,1105376
23:50:40,48.2,1135256
23:50:41,48.6,1101112
23:50:42,48.9,1141388
23:50:43,49.1,707008
23:50:44,49.1,1141464
23:50:45,49.4,1114296
23:50:46,49.8,1142144
23:50:47,49.7,708056
23:50:48,49.5,708076
23:50:49,49.8,763748
23:50:50,49.7,715936
23:50:51,49.8,1146288
23:50:52,50.0,715920
23:50:54,49.8,706748
23:50:55,50.3,1141188
23:50:56,50.6,1141612
23:50:57,50.6,763180
23:50:58,50.4,707172
23:50:59,50.7,1131268
23:51:00,51.0,1141644
23:51:01,51.5,1132532
23:51:02,51.9,1144308
