Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
06/05/2026 09:24:30,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
06/05/2026 09:24:30,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,66439912
06/05/2026 09:24:30,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
06/05/2026 09:24:30,System.Runtime,dotnet.assembly.count ({assembly}),Metric,133
06/05/2026 09:24:30,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,180363264
06/05/2026 09:24:30,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 2 sec),Rate,0
06/05/2026 09:24:30,System.Runtime,dotnet.gc.pause.time (s / 2 sec),Rate,0
06/05/2026 09:24:30,System.Runtime,dotnet.process.memory.working_set (By),Metric,364322816
06/05/2026 09:24:30,System.Runtime,dotnet.jit.compiled_methods ({method} / 2 sec),Rate,0
06/05/2026 09:24:30,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
06/05/2026 09:24:30,System.Runtime,dotnet.process.cpu.time (s / 2 sec)[cpu.mode=system],Rate,3.599999999998049E-05
06/05/2026 09:24:30,System.Runtime,dotnet.process.cpu.time (s / 2 sec)[cpu.mode=user],Rate,0.0013310000000004152
06/05/2026 09:24:30,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,9128376
06/05/2026 09:24:30,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,1012408
06/05/2026 09:24:30,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
06/05/2026 09:24:30,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,97498728
